url_path,views_total,views_unique
/YosemiteCrew/Yosemite-Crew,221,70
/YosemiteCrew/Yosemite-Crew/pulls,86,10
/YosemiteCrew/Yosemite-Crew/issues,47,12
/YosemiteCrew/Yosemite-Crew/pull/1459,40,5
/YosemiteCrew/Yosemite-Crew/actions,28,2
/YosemiteCrew/Yosemite-Crew/graphs/contributors,27,4
/YosemiteCrew/Yosemite-Crew/blob/github-repo-stats/YosemiteCrew/Yosemite-Crew/latest-report/summary.json,23,2
/YosemiteCrew/Yosemite-Crew/actions/workflows/repo-stats.yml,21,1
/YosemiteCrew/Yosemite-Crew/pulse,19,6
/YosemiteCrew/Yosemite-Crew/tree/github-repo-stats/YosemiteCrew/Yosemite-Crew/latest-report,18,2
