time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-23 00:00:00+00:00,536,39,97,10
2026-03-24 00:00:00+00:00,88,25,50,8
2026-03-25 00:00:00+00:00,88,24,57,8
2026-03-26 00:00:00+00:00,61,24,49,8
2026-03-27 00:00:00+00:00,247,38,118,12
2026-03-28 00:00:00+00:00,245,47,101,10
2026-03-29 00:00:00+00:00,192,49,65,20
2026-03-30 00:00:00+00:00,111,55,82,7
2026-03-31 00:00:00+00:00,1814,1234,134,10
2026-04-01 00:00:00+00:00,205,162,62,9
2026-04-02 00:00:00+00:00,395,286,44,12
2026-04-03 00:00:00+00:00,274,186,52,17
2026-04-04 00:00:00+00:00,209,166,26,10
2026-04-05 00:00:00+00:00,331,259,22,11
