time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-03 00:00:00+00:00,58,10,37,9
2026-03-04 00:00:00+00:00,18,8,17,7
2026-03-05 00:00:00+00:00,224,12,60,6
2026-03-06 00:00:00+00:00,12,6,106,15
2026-03-07 00:00:00+00:00,8,5,100,16
2026-03-08 00:00:00+00:00,4,2,40,10
2026-03-09 00:00:00+00:00,10,8,52,13
2026-03-10 00:00:00+00:00,205,13,73,14
2026-03-11 00:00:00+00:00,90,9,75,15
2026-03-12 00:00:00+00:00,21,4,39,12
2026-03-13 00:00:00+00:00,83,12,75,9
2026-03-14 00:00:00+00:00,39,9,38,11
2026-03-15 00:00:00+00:00,72,12,195,4
2026-03-16 00:00:00+00:00,493,47,316,11
2026-03-17 00:00:00+00:00,303,35,207,11
2026-03-18 00:00:00+00:00,109,15,88,9
2026-03-19 00:00:00+00:00,105,13,54,7
2026-03-20 00:00:00+00:00,15,7,37,17
2026-03-21 00:00:00+00:00,848,65,366,9
2026-03-22 00:00:00+00:00,440,60,153,16
2026-03-23 00:00:00+00:00,536,39,97,10
2026-03-24 00:00:00+00:00,88,25,50,8
2026-03-25 00:00:00+00:00,88,24,57,8
2026-03-26 00:00:00+00:00,61,24,49,8
2026-03-27 00:00:00+00:00,247,38,118,12
2026-03-28 00:00:00+00:00,245,47,101,10
2026-03-29 00:00:00+00:00,192,49,65,20
2026-03-30 00:00:00+00:00,111,55,82,7
2026-03-31 00:00:00+00:00,1814,1234,134,10
2026-04-01 00:00:00+00:00,205,162,62,9
2026-04-02 00:00:00+00:00,395,286,44,12
2026-04-03 00:00:00+00:00,274,186,52,17
2026-04-04 00:00:00+00:00,209,166,26,10
2026-04-05 00:00:00+00:00,331,259,22,11
2026-04-06 00:00:00+00:00,458,182,33,6
2026-04-07 00:00:00+00:00,356,184,42,11
2026-04-08 00:00:00+00:00,540,269,96,9
2026-04-09 00:00:00+00:00,241,92,56,10
2026-04-10 00:00:00+00:00,297,179,34,11
2026-04-11 00:00:00+00:00,368,285,14,7
2026-04-12 00:00:00+00:00,256,170,26,6
2026-04-13 00:00:00+00:00,313,180,12,9
2026-04-14 00:00:00+00:00,2615,475,321,13
2026-04-15 00:00:00+00:00,313,169,65,19
2026-04-16 00:00:00+00:00,218,152,51,15
2026-04-17 00:00:00+00:00,294,258,43,11
2026-04-18 00:00:00+00:00,191,156,41,7
